sample_id,text
sub-01::stimulus_1,"The activated emotions are: confusion, disgust, guilt, joy, satisfaction, sympathy."
sub-01::stimulus_2,"The activated emotions are: amusement, confusion, joy, pride, surprise."
sub-01::stimulus_3,"The activated emotions are: amusement, surprise, sympathy, triumph."
sub-01::stimulus_4,"The activated emotions are: amusement, confusion."
sub-01::stimulus_5,"The activated emotions are: anxiety, confusion, satisfaction, sympathy."
sub-01::stimulus_6,"The activated emotions are: amusement, nostalgia, pride."
sub-01::stimulus_7,"The activated emotions are: aesthetic_appreciation, awe, confusion, joy."
sub-01::stimulus_8,"The activated emotions are: aesthetic_appreciation, calmness, joy."
sub-01::stimulus_9,"The activated emotions are: satisfaction, sympathy, triumph."
sub-01::stimulus_10,"The activated emotions are: fear, joy, sadness, surprise."
sub-01::stimulus_11,"The activated emotions are: admiration, adoration, amusement, awe, nostalgia, sexual_desire, sympathy."
sub-01::stimulus_12,"The activated emotions are: amusement, fear, joy, nostalgia, pride, relief, shame."
sub-01::stimulus_13,"The activated emotions are: adoration, amusement, awe, entrancement, triumph."
sub-01::stimulus_14,"The activated emotions are: nostalgia, romance, satisfaction, sexual_desire, triumph, shame."
sub-01::stimulus_15,"The activated emotions are: anxiety, guilt, interest, romance, sympathy."
sub-01::stimulus_16,"The activated emotions are: aesthetic_appreciation, anxiety, awe, guilt, joy."
sub-01::stimulus_17,"The activated emotions are: amusement, confusion, fear, nostalgia, sexual_desire, shame."
sub-01::stimulus_18,"The activated emotions are: amusement, confusion, empathic_pain, surprise."
sub-01::stimulus_19,"The activated emotions are: boredom, craving, envy."
sub-01::stimulus_20,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-01::stimulus_21,"The activated emotions are: empathic_pain, entrancement, guilt, interest, sympathy."
sub-01::stimulus_22,"The activated emotions are: awe, entrancement, envy, fear, shame."
sub-01::stimulus_23,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-01::stimulus_24,"The activated emotions are: confusion, entrancement, interest, romance, satisfaction, sympathy."
sub-01::stimulus_25,"The activated emotions are: anxiety, envy, guilt."
sub-01::stimulus_26,"The activated emotions are: aesthetic_appreciation, awe, calmness, envy, nostalgia, sexual_desire."
sub-01::stimulus_27,"The activated emotions are: amusement, awkwardness, entrancement, guilt, sympathy, triumph."
sub-01::stimulus_28,"The activated emotions are: confusion, empathic_pain, entrancement, guilt, interest."
sub-01::stimulus_29,"The activated emotions are: aesthetic_appreciation, amusement, awe, fear, joy, sympathy."
sub-01::stimulus_30,"The activated emotions are: anxiety, confusion, empathic_pain, guilt, interest, sympathy."
sub-01::stimulus_31,"The activated emotions are: amusement, anger, anxiety, boredom, confusion, contempt, empathic_pain, interest, joy, romance, sympathy."
sub-01::stimulus_32,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, awkwardness, boredom, confusion, joy, sexual_desire, sympathy, shame."
sub-01::stimulus_33,"The activated emotions are: aesthetic_appreciation, boredom, confusion, joy."
sub-01::stimulus_34,"The activated emotions are: boredom, envy, joy, sexual_desire, sympathy."
sub-01::stimulus_35,"The activated emotions are: adoration, aesthetic_appreciation, amusement, awe, calmness, joy, nostalgia."
sub-01::stimulus_36,"The activated emotions are: adoration, amusement, awkwardness, nostalgia, pride, sadness, surprise."
sub-01::stimulus_37,"The activated emotions are: adoration, amusement, boredom, nostalgia, sexual_desire."
sub-01::stimulus_38,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, sexual_desire, shame."
sub-01::stimulus_39,"The activated emotions are: admiration, awe, boredom, envy, fear, joy, nostalgia, pride, relief, sexual_desire, sympathy."
sub-01::stimulus_40,"The activated emotions are: adoration, amusement, awe, fear, joy, nostalgia, relief, sexual_desire, sympathy."
sub-01::stimulus_41,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, pride, sexual_desire, sympathy, shame."
sub-01::stimulus_42,"The activated emotions are: aesthetic_appreciation, amusement, awe, joy, sympathy."
sub-01::stimulus_43,"The activated emotions are: adoration, amusement, awe, boredom, excitement, fear, nostalgia, sadness, sexual_desire, sympathy, shame."
sub-01::stimulus_44,"The activated emotions are: adoration, aesthetic_appreciation, fear, joy, sadness, surprise."
sub-01::stimulus_45,"The activated emotions are: amusement, anger, anxiety, confusion, contempt, empathic_pain, fear, guilt, romance, sexual_desire."
sub-01::stimulus_46,"The activated emotions are: anxiety, confusion, guilt, interest."
sub-01::stimulus_47,"The activated emotions are: admiration, adoration, amusement, awe, confusion, empathic_pain, satisfaction."
sub-01::stimulus_48,"The activated emotions are: confusion, empathic_pain, guilt, interest."
sub-01::stimulus_49,"The activated emotions are: amusement, boredom, contempt, disgust, empathic_pain, fear, joy, nostalgia, pride, triumph, shame."
sub-01::stimulus_50,"The activated emotions are: adoration, amusement, awkwardness, boredom, disgust, nostalgia, satisfaction, sexual_desire."
sub-02::stimulus_1,"The activated emotions are: confusion, disgust, guilt, joy, satisfaction, sympathy."
sub-02::stimulus_2,"The activated emotions are: amusement, confusion, joy, pride, surprise."
sub-02::stimulus_3,"The activated emotions are: amusement, surprise, sympathy, triumph."
sub-02::stimulus_4,"The activated emotions are: amusement, confusion."
sub-02::stimulus_5,"The activated emotions are: anxiety, confusion, satisfaction, sympathy."
sub-02::stimulus_6,"The activated emotions are: amusement, nostalgia, pride."
sub-02::stimulus_7,"The activated emotions are: aesthetic_appreciation, awe, confusion, joy."
sub-02::stimulus_8,"The activated emotions are: aesthetic_appreciation, calmness, joy."
sub-02::stimulus_9,"The activated emotions are: satisfaction, sympathy, triumph."
sub-02::stimulus_10,"The activated emotions are: fear, joy, sadness, surprise."
sub-02::stimulus_11,"The activated emotions are: admiration, adoration, amusement, awe, nostalgia, sexual_desire, sympathy."
sub-02::stimulus_12,"The activated emotions are: amusement, fear, joy, nostalgia, pride, relief, shame."
sub-02::stimulus_13,"The activated emotions are: adoration, amusement, awe, entrancement, triumph."
sub-02::stimulus_14,"The activated emotions are: nostalgia, romance, satisfaction, sexual_desire, triumph, shame."
sub-02::stimulus_15,"The activated emotions are: anxiety, guilt, interest, romance, sympathy."
sub-02::stimulus_16,"The activated emotions are: aesthetic_appreciation, anxiety, awe, guilt, joy."
sub-02::stimulus_17,"The activated emotions are: amusement, confusion, fear, nostalgia, sexual_desire, shame."
sub-02::stimulus_18,"The activated emotions are: amusement, confusion, empathic_pain, surprise."
sub-02::stimulus_19,"The activated emotions are: boredom, craving, envy."
sub-02::stimulus_20,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-02::stimulus_21,"The activated emotions are: empathic_pain, entrancement, guilt, interest, sympathy."
sub-02::stimulus_22,"The activated emotions are: awe, entrancement, envy, fear, shame."
sub-02::stimulus_23,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-02::stimulus_24,"The activated emotions are: confusion, entrancement, interest, romance, satisfaction, sympathy."
sub-02::stimulus_25,"The activated emotions are: anxiety, envy, guilt."
sub-02::stimulus_26,"The activated emotions are: aesthetic_appreciation, awe, calmness, envy, nostalgia, sexual_desire."
sub-02::stimulus_27,"The activated emotions are: amusement, awkwardness, entrancement, guilt, sympathy, triumph."
sub-02::stimulus_28,"The activated emotions are: confusion, empathic_pain, entrancement, guilt, interest."
sub-02::stimulus_29,"The activated emotions are: aesthetic_appreciation, amusement, awe, fear, joy, sympathy."
sub-02::stimulus_30,"The activated emotions are: anxiety, confusion, empathic_pain, guilt, interest, sympathy."
sub-02::stimulus_31,"The activated emotions are: amusement, anger, anxiety, boredom, confusion, contempt, empathic_pain, interest, joy, romance, sympathy."
sub-02::stimulus_32,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, awkwardness, boredom, confusion, joy, sexual_desire, sympathy, shame."
sub-02::stimulus_33,"The activated emotions are: aesthetic_appreciation, boredom, confusion, joy."
sub-02::stimulus_34,"The activated emotions are: boredom, envy, joy, sexual_desire, sympathy."
sub-02::stimulus_35,"The activated emotions are: adoration, aesthetic_appreciation, amusement, awe, calmness, joy, nostalgia."
sub-02::stimulus_36,"The activated emotions are: adoration, amusement, awkwardness, nostalgia, pride, sadness, surprise."
sub-02::stimulus_37,"The activated emotions are: adoration, amusement, boredom, nostalgia, sexual_desire."
sub-02::stimulus_38,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, sexual_desire, shame."
sub-02::stimulus_39,"The activated emotions are: admiration, awe, boredom, envy, fear, joy, nostalgia, pride, relief, sexual_desire, sympathy."
sub-02::stimulus_40,"The activated emotions are: adoration, amusement, awe, fear, joy, nostalgia, relief, sexual_desire, sympathy."
sub-02::stimulus_41,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, pride, sexual_desire, sympathy, shame."
sub-02::stimulus_42,"The activated emotions are: aesthetic_appreciation, amusement, awe, joy, sympathy."
sub-02::stimulus_43,"The activated emotions are: adoration, amusement, awe, boredom, excitement, fear, nostalgia, sadness, sexual_desire, sympathy, shame."
sub-02::stimulus_44,"The activated emotions are: adoration, aesthetic_appreciation, fear, joy, sadness, surprise."
sub-02::stimulus_45,"The activated emotions are: amusement, anger, anxiety, confusion, contempt, empathic_pain, fear, guilt, romance, sexual_desire."
sub-02::stimulus_46,"The activated emotions are: anxiety, confusion, guilt, interest."
sub-02::stimulus_47,"The activated emotions are: admiration, adoration, amusement, awe, confusion, empathic_pain, satisfaction."
sub-02::stimulus_48,"The activated emotions are: confusion, empathic_pain, guilt, interest."
sub-02::stimulus_49,"The activated emotions are: amusement, boredom, contempt, disgust, empathic_pain, fear, joy, nostalgia, pride, triumph, shame."
sub-02::stimulus_50,"The activated emotions are: adoration, amusement, awkwardness, boredom, disgust, nostalgia, satisfaction, sexual_desire."
