sample_id,text
sub-01::stimulus_1,The dominant emotional response is joy.
sub-01::stimulus_2,The dominant emotional response is pride.
sub-01::stimulus_3,The dominant emotional response is amusement.
sub-01::stimulus_4,The dominant emotional response is amusement.
sub-01::stimulus_5,The dominant emotional response is confusion.
sub-01::stimulus_6,The dominant emotional response is pride.
sub-01::stimulus_7,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_8,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_9,The dominant emotional response is satisfaction.
sub-01::stimulus_10,The dominant emotional response is surprise.
sub-01::stimulus_11,The dominant emotional response is amusement.
sub-01::stimulus_12,The dominant emotional response is amusement.
sub-01::stimulus_13,The dominant emotional response is amusement.
sub-01::stimulus_14,The dominant emotional response is triumph.
sub-01::stimulus_15,The dominant emotional response is guilt.
sub-01::stimulus_16,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_17,The dominant emotional response is confusion.
sub-01::stimulus_18,The dominant emotional response is surprise.
sub-01::stimulus_19,The dominant emotional response is craving.
sub-01::stimulus_20,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_21,The dominant emotional response is empathic_pain.
sub-01::stimulus_22,The dominant emotional response is shame.
sub-01::stimulus_23,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_24,The dominant emotional response is confusion.
sub-01::stimulus_25,The dominant emotional response is guilt.
sub-01::stimulus_26,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_27,The dominant emotional response is amusement.
sub-01::stimulus_28,The dominant emotional response is empathic_pain.
sub-01::stimulus_29,The dominant emotional response is awe.
sub-01::stimulus_30,The dominant emotional response is empathic_pain.
sub-01::stimulus_31,The dominant emotional response is anxiety.
sub-01::stimulus_32,The dominant emotional response is amusement.
sub-01::stimulus_33,The dominant emotional response is joy.
sub-01::stimulus_34,The dominant emotional response is joy.
sub-01::stimulus_35,The dominant emotional response is adoration.
sub-01::stimulus_36,The dominant emotional response is sadness.
sub-01::stimulus_37,The dominant emotional response is amusement.
sub-01::stimulus_38,The dominant emotional response is amusement.
sub-01::stimulus_39,The dominant emotional response is awe.
sub-01::stimulus_40,The dominant emotional response is amusement.
sub-01::stimulus_41,The dominant emotional response is awe.
sub-01::stimulus_42,The dominant emotional response is aesthetic_appreciation.
sub-01::stimulus_43,The dominant emotional response is nostalgia.
sub-01::stimulus_44,The dominant emotional response is sadness.
sub-01::stimulus_45,The dominant emotional response is anxiety.
sub-01::stimulus_46,The dominant emotional response is anxiety.
sub-01::stimulus_47,The dominant emotional response is amusement.
sub-01::stimulus_48,The dominant emotional response is empathic_pain.
