sample_id,text
sub-01::stimulus_1,"The activated emotions are: confusion, disgust, guilt, joy, satisfaction, sympathy."
sub-01::stimulus_2,"The activated emotions are: amusement, confusion, joy, pride, surprise."
sub-01::stimulus_3,"The activated emotions are: amusement, surprise, sympathy, triumph."
sub-01::stimulus_4,"The activated emotions are: amusement, confusion."
sub-01::stimulus_5,"The activated emotions are: anxiety, confusion, satisfaction, sympathy."
sub-01::stimulus_6,"The activated emotions are: amusement, nostalgia, pride."
sub-01::stimulus_7,"The activated emotions are: aesthetic_appreciation, awe, confusion, joy."
sub-01::stimulus_8,"The activated emotions are: aesthetic_appreciation, calmness, joy."
sub-01::stimulus_9,"The activated emotions are: satisfaction, sympathy, triumph."
sub-01::stimulus_10,"The activated emotions are: fear, joy, sadness, surprise."
sub-01::stimulus_11,"The activated emotions are: admiration, adoration, amusement, awe, nostalgia, sexual_desire, sympathy."
sub-01::stimulus_12,"The activated emotions are: amusement, fear, joy, nostalgia, pride, relief, shame."
sub-01::stimulus_13,"The activated emotions are: adoration, amusement, awe, entrancement, triumph."
sub-01::stimulus_14,"The activated emotions are: nostalgia, romance, satisfaction, sexual_desire, triumph, shame."
sub-01::stimulus_15,"The activated emotions are: anxiety, guilt, interest, romance, sympathy."
sub-01::stimulus_16,"The activated emotions are: aesthetic_appreciation, anxiety, awe, guilt, joy."
sub-01::stimulus_17,"The activated emotions are: amusement, confusion, fear, nostalgia, sexual_desire, shame."
sub-01::stimulus_18,"The activated emotions are: amusement, confusion, empathic_pain, surprise."
sub-01::stimulus_19,"The activated emotions are: boredom, craving, envy."
sub-01::stimulus_20,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-01::stimulus_21,"The activated emotions are: empathic_pain, entrancement, guilt, interest, sympathy."
sub-01::stimulus_22,"The activated emotions are: awe, entrancement, envy, fear, shame."
sub-01::stimulus_23,"The activated emotions are: aesthetic_appreciation, envy, joy."
sub-01::stimulus_24,"The activated emotions are: confusion, entrancement, interest, romance, satisfaction, sympathy."
sub-01::stimulus_25,"The activated emotions are: anxiety, envy, guilt."
sub-01::stimulus_26,"The activated emotions are: aesthetic_appreciation, awe, calmness, envy, nostalgia, sexual_desire."
sub-01::stimulus_27,"The activated emotions are: amusement, awkwardness, entrancement, guilt, sympathy, triumph."
sub-01::stimulus_28,"The activated emotions are: confusion, empathic_pain, entrancement, guilt, interest."
sub-01::stimulus_29,"The activated emotions are: aesthetic_appreciation, amusement, awe, fear, joy, sympathy."
sub-01::stimulus_30,"The activated emotions are: anxiety, confusion, empathic_pain, guilt, interest, sympathy."
sub-01::stimulus_31,"The activated emotions are: amusement, anger, anxiety, boredom, confusion, contempt, empathic_pain, interest, joy, romance, sympathy."
sub-01::stimulus_32,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, awkwardness, boredom, confusion, joy, sexual_desire, sympathy, shame."
sub-01::stimulus_33,"The activated emotions are: aesthetic_appreciation, boredom, confusion, joy."
sub-01::stimulus_34,"The activated emotions are: boredom, envy, joy, sexual_desire, sympathy."
sub-01::stimulus_35,"The activated emotions are: adoration, aesthetic_appreciation, amusement, awe, calmness, joy, nostalgia."
sub-01::stimulus_36,"The activated emotions are: adoration, amusement, awkwardness, nostalgia, pride, sadness, surprise."
sub-01::stimulus_37,"The activated emotions are: adoration, amusement, boredom, nostalgia, sexual_desire."
sub-01::stimulus_38,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, sexual_desire, shame."
sub-01::stimulus_39,"The activated emotions are: admiration, awe, boredom, envy, fear, joy, nostalgia, pride, relief, sexual_desire, sympathy."
sub-01::stimulus_40,"The activated emotions are: adoration, amusement, awe, fear, joy, nostalgia, relief, sexual_desire, sympathy."
sub-01::stimulus_41,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, boredom, fear, pride, sexual_desire, sympathy, shame."
sub-01::stimulus_42,"The activated emotions are: aesthetic_appreciation, amusement, awe, joy, sympathy."
sub-01::stimulus_43,"The activated emotions are: adoration, amusement, awe, boredom, excitement, fear, nostalgia, sadness, sexual_desire, sympathy, shame."
sub-01::stimulus_44,"The activated emotions are: adoration, aesthetic_appreciation, fear, joy, sadness, surprise."
sub-01::stimulus_45,"The activated emotions are: amusement, anger, anxiety, confusion, contempt, empathic_pain, fear, guilt, romance, sexual_desire."
sub-01::stimulus_46,"The activated emotions are: anxiety, confusion, guilt, interest."
sub-01::stimulus_47,"The activated emotions are: admiration, adoration, amusement, awe, confusion, empathic_pain, satisfaction."
sub-01::stimulus_48,"The activated emotions are: confusion, empathic_pain, guilt, interest."
sub-01::stimulus_49,"The activated emotions are: amusement, boredom, contempt, disgust, empathic_pain, fear, joy, nostalgia, pride, triumph, shame."
sub-01::stimulus_50,"The activated emotions are: adoration, amusement, awkwardness, boredom, disgust, nostalgia, satisfaction, sexual_desire."
sub-01::stimulus_51,"The activated emotions are: anger, anxiety, contempt, empathic_pain, entrancement, guilt, horror, interest, satisfaction, triumph."
sub-01::stimulus_52,"The activated emotions are: amusement, awkwardness, boredom, nostalgia, pride."
sub-01::stimulus_53,"The activated emotions are: amusement, awkwardness, confusion, empathic_pain, interest, nostalgia, sympathy."
sub-01::stimulus_54,"The activated emotions are: admiration, adoration, anger, awe, horror, nostalgia, romance, satisfaction, sexual_desire, triumph."
sub-01::stimulus_55,"The activated emotions are: aesthetic_appreciation, awe, fear, guilt, interest, joy."
sub-01::stimulus_56,"The activated emotions are: amusement, boredom, fear, joy."
sub-01::stimulus_57,"The activated emotions are: aesthetic_appreciation, awkwardness, craving, empathic_pain, fear, joy, sexual_desire, surprise, sympathy."
sub-01::stimulus_58,"The activated emotions are: aesthetic_appreciation, anxiety, awe, calmness."
sub-01::stimulus_59,"The activated emotions are: anger, contempt, disgust, empathic_pain, entrancement, interest, satisfaction, triumph."
sub-01::stimulus_60,"The activated emotions are: aesthetic_appreciation, amusement, awe, calmness, fear, guilt, joy, sympathy."
sub-01::stimulus_61,"The activated emotions are: aesthetic_appreciation, amusement, calmness, disgust, envy, joy, sexual_desire, sympathy."
sub-01::stimulus_62,"The activated emotions are: anger, disgust, empathic_pain, interest, satisfaction, sympathy."
sub-01::stimulus_63,"The activated emotions are: aesthetic_appreciation, anxiety, awe, boredom, envy, joy."
sub-01::stimulus_64,"The activated emotions are: aesthetic_appreciation, amusement, awe, envy, excitement, joy, sexual_desire, surprise."
sub-01::stimulus_65,"The activated emotions are: aesthetic_appreciation, amusement, anxiety, awe, boredom, guilt, joy, nostalgia, romance."
sub-01::stimulus_66,"The activated emotions are: adoration, amusement, boredom, triumph."
sub-01::stimulus_67,"The activated emotions are: anger, anxiety, awkwardness, empathic_pain, interest, satisfaction, triumph."
sub-01::stimulus_68,"The activated emotions are: admiration, aesthetic_appreciation, amusement, awe, fear, guilt, joy, nostalgia, shame."
sub-01::stimulus_69,"The activated emotions are: amusement, boredom, calmness, confusion, joy, nostalgia, sadness."
sub-01::stimulus_70,"The activated emotions are: aesthetic_appreciation, amusement, awkwardness, nostalgia, pride, satisfaction, sexual_desire, sympathy, triumph."
sub-01::stimulus_71,"The activated emotions are: amusement, anxiety, entrancement, guilt, interest, romance, sympathy."
sub-01::stimulus_72,"The activated emotions are: aesthetic_appreciation, amusement, boredom, confusion."
sub-01::stimulus_73,"The activated emotions are: anxiety, awkwardness, empathic_pain, entrancement, guilt, interest, satisfaction."
sub-01::stimulus_74,"The activated emotions are: adoration, amusement, awe, nostalgia, sexual_desire, sympathy, triumph."
sub-01::stimulus_75,"The activated emotions are: adoration, boredom, calmness, nostalgia, romance, sadness, satisfaction, triumph."
sub-01::stimulus_76,"The activated emotions are: aesthetic_appreciation, amusement, awe, boredom, calmness, joy, sexual_desire, sympathy."
sub-01::stimulus_77,"The activated emotions are: aesthetic_appreciation, amusement, anxiety, boredom, confusion, guilt, interest, joy, satisfaction."
sub-01::stimulus_78,"The activated emotions are: aesthetic_appreciation, confusion, envy, joy, sympathy."
sub-01::stimulus_79,"The activated emotions are: anxiety, awkwardness, confusion, disgust, empathic_pain, guilt, satisfaction, sympathy, triumph."
sub-01::stimulus_80,"The activated emotions are: amusement, confusion, nostalgia, sympathy."
sub-01::stimulus_81,"The activated emotions are: anxiety, empathic_pain, entrancement, interest, satisfaction, triumph."
sub-01::stimulus_82,"The activated emotions are: adoration, amusement, awe, fear, nostalgia, sexual_desire, triumph, shame."
sub-01::stimulus_83,"The activated emotions are: adoration, aesthetic_appreciation, amusement, awe, envy, nostalgia."
sub-01::stimulus_84,"The activated emotions are: aesthetic_appreciation, boredom, calmness, envy, joy."
sub-01::stimulus_85,"The activated emotions are: admiration, amusement, awe, boredom, envy, fear, guilt, joy, nostalgia, sexual_desire, shame."
sub-01::stimulus_86,"The activated emotions are: adoration, amusement, anxiety, awe, boredom, guilt, romance, sexual_desire, sympathy."
sub-01::stimulus_87,"The activated emotions are: adoration, amusement, awe, joy, nostalgia, sympathy."
sub-01::stimulus_88,"The activated emotions are: admiration, amusement, disgust, joy, sexual_desire, sympathy, triumph, shame."
sub-01::stimulus_89,"The activated emotions are: amusement, entrancement, guilt, interest, satisfaction, sympathy."
sub-01::stimulus_90,"The activated emotions are: aesthetic_appreciation, calmness, envy, joy, sexual_desire."
sub-01::stimulus_91,"The activated emotions are: amusement, awkwardness, confusion, joy, nostalgia."
sub-01::stimulus_92,"The activated emotions are: aesthetic_appreciation, awe, boredom, envy, joy."
sub-01::stimulus_93,"The activated emotions are: amusement, joy, nostalgia, sympathy."
sub-01::stimulus_94,"The activated emotions are: adoration, amusement, awe, nostalgia."
sub-01::stimulus_95,"The activated emotions are: empathic_pain, entrancement, horror, interest, triumph."
sub-01::stimulus_96,"The activated emotions are: anxiety, awkwardness, envy, fear, guilt."
sub-01::stimulus_97,"The activated emotions are: anxiety, disgust, fear, guilt, interest."
sub-01::stimulus_98,"The activated emotions are: adoration, amusement, awe."
sub-01::stimulus_99,"The activated emotions are: amusement, entrancement, nostalgia, sympathy."
sub-01::stimulus_100,"The activated emotions are: adoration, amusement, nostalgia, triumph."
sub-01::stimulus_101,"The activated emotions are: adoration, aesthetic_appreciation, amusement, awe, confusion, nostalgia."
sub-01::stimulus_102,"The activated emotions are: amusement, nostalgia."
sub-01::stimulus_103,"The activated emotions are: aesthetic_appreciation, amusement, boredom, confusion, joy, sympathy."
sub-01::stimulus_104,"The activated emotions are: entrancement, interest, satisfaction, sympathy, triumph."
sub-01::stimulus_105,"The activated emotions are: amusement, guilt, triumph."
sub-01::stimulus_106,"The activated emotions are: awkwardness, empathic_pain, guilt."
sub-01::stimulus_107,"The activated emotions are: anxiety, guilt, interest, romance, satisfaction, sympathy."
sub-01::stimulus_108,"The activated emotions are: amusement, awkwardness, calmness, relief."
sub-01::stimulus_109,"The activated emotions are: anxiety, guilt, interest, romance, sympathy."
sub-01::stimulus_110,The activated emotions are: craving.
sub-01::stimulus_111,"The activated emotions are: adoration, excitement, sadness, surprise."
sub-01::stimulus_112,"The activated emotions are: awkwardness, excitement, surprise."
sub-01::stimulus_113,"The activated emotions are: adoration, amusement, awe, nostalgia."
sub-01::stimulus_114,"The activated emotions are: amusement, boredom, joy, pride."
sub-01::stimulus_115,"The activated emotions are: amusement, anxiety, boredom, fear."
sub-01::stimulus_116,"The activated emotions are: excitement, sadness."
sub-01::stimulus_117,"The activated emotions are: amusement, boredom, confusion, guilt."
sub-01::stimulus_118,"The activated emotions are: aesthetic_appreciation, awe, confusion, disgust, satisfaction."
sub-01::stimulus_119,"The activated emotions are: amusement, awkwardness, empathic_pain, satisfaction."
sub-01::stimulus_120,"The activated emotions are: amusement, boredom, satisfaction, sympathy."
sub-01::stimulus_121,"The activated emotions are: amusement, anxiety, awe, boredom, fear, guilt, nostalgia, sympathy."
sub-01::stimulus_122,"The activated emotions are: amusement, anxiety, awkwardness, guilt, satisfaction, sympathy, triumph."
sub-01::stimulus_123,"The activated emotions are: adoration, amusement, awe, joy, nostalgia."
sub-01::stimulus_124,"The activated emotions are: anger, confusion, contempt, disgust, empathic_pain, satisfaction, sympathy."
sub-01::stimulus_125,"The activated emotions are: amusement, calmness, nostalgia, pride, sadness, surprise."
sub-01::stimulus_126,"The activated emotions are: admiration, adoration, awe, fear, joy, nostalgia, sadness, sexual_desire, sympathy, triumph."
sub-01::stimulus_127,"The activated emotions are: confusion, entrancement, guilt, interest, satisfaction, sympathy."
sub-01::stimulus_128,"The activated emotions are: entrancement, guilt, interest, sympathy, triumph."
sub-01::stimulus_129,"The activated emotions are: disgust, entrancement, guilt, interest, satisfaction, sympathy, triumph."
sub-01::stimulus_130,"The activated emotions are: awkwardness, surprise."
sub-01::stimulus_131,"The activated emotions are: amusement, awkwardness, boredom, pride."
sub-01::stimulus_132,"The activated emotions are: anxiety, empathic_pain, entrancement, guilt, interest, sympathy, triumph."
sub-01::stimulus_133,"The activated emotions are: amusement, anxiety, guilt, interest."
sub-01::stimulus_134,"The activated emotions are: aesthetic_appreciation, amusement, confusion, envy, joy."
sub-01::stimulus_135,"The activated emotions are: anger, empathic_pain, entrancement, guilt, interest, satisfaction."
sub-01::stimulus_136,"The activated emotions are: aesthetic_appreciation, anxiety, awe, confusion, interest, satisfaction."
sub-01::stimulus_137,"The activated emotions are: anxiety, awe, entrancement, guilt, interest, satisfaction, triumph."
sub-01::stimulus_138,"The activated emotions are: awkwardness, empathic_pain, surprise."
sub-01::stimulus_139,"The activated emotions are: awkwardness, sadness, surprise."
sub-01::stimulus_140,"The activated emotions are: fear, surprise."
sub-01::stimulus_141,"The activated emotions are: empathic_pain, entrancement, guilt, interest."
sub-01::stimulus_142,"The activated emotions are: amusement, boredom, nostalgia, pride."
sub-01::stimulus_143,"The activated emotions are: amusement, anxiety, disgust, guilt, sympathy, triumph."
sub-01::stimulus_144,"The activated emotions are: boredom, craving, excitement, joy."
sub-01::stimulus_145,"The activated emotions are: anxiety, awe, guilt, interest, joy, sympathy."
sub-01::stimulus_146,"The activated emotions are: admiration, aesthetic_appreciation, amusement, anxiety, awe, envy, fear, joy, nostalgia, sympathy."
sub-01::stimulus_147,"The activated emotions are: aesthetic_appreciation, amusement, calmness, confusion, envy, sympathy."
sub-01::stimulus_148,"The activated emotions are: awe, confusion, envy, guilt, sympathy."
sub-01::stimulus_149,"The activated emotions are: admiration, aesthetic_appreciation, awe, calmness."
sub-01::stimulus_150,"The activated emotions are: adoration, amusement, awe, calmness, joy, nostalgia."
sub-01::stimulus_151,"The activated emotions are: adoration, amusement, awe, nostalgia, sexual_desire, sympathy."
sub-01::stimulus_152,"The activated emotions are: aesthetic_appreciation, craving, envy, sexual_desire."
sub-01::stimulus_153,"The activated emotions are: anxiety, confusion, empathic_pain, entrancement, guilt, horror, interest, satisfaction."
sub-01::stimulus_154,"The activated emotions are: anxiety, entrancement, fear, guilt, interest, satisfaction, sympathy, triumph."
sub-01::stimulus_155,"The activated emotions are: amusement, awe, confusion, empathic_pain, joy, sympathy."
sub-01::stimulus_156,"The activated emotions are: aesthetic_appreciation, amusement, awe, envy, fear, joy, sexual_desire."
sub-01::stimulus_157,"The activated emotions are: aesthetic_appreciation, fear, joy, sympathy."
sub-01::stimulus_158,"The activated emotions are: anger, anxiety, confusion, empathic_pain, guilt, satisfaction, sympathy."
sub-01::stimulus_159,"The activated emotions are: amusement, confusion, sympathy, triumph."
sub-01::stimulus_160,"The activated emotions are: amusement, awe, confusion, guilt, nostalgia, sympathy."
sub-01::stimulus_161,"The activated emotions are: amusement, nostalgia, sexual_desire, sympathy."
sub-01::stimulus_162,"The activated emotions are: joy, sadness, surprise."
sub-01::stimulus_163,"The activated emotions are: amusement, awe, joy, nostalgia, sympathy."
sub-01::stimulus_164,"The activated emotions are: admiration, fear, nostalgia, pride."
sub-01::stimulus_165,"The activated emotions are: amusement, awe, fear, nostalgia, sexual_desire."
sub-01::stimulus_166,"The activated emotions are: entrancement, guilt, interest, satisfaction, sympathy, triumph."
sub-01::stimulus_167,"The activated emotions are: admiration, amusement, awe, fear, joy, surprise, sympathy."
sub-01::stimulus_168,"The activated emotions are: adoration, amusement, awe, nostalgia."
sub-01::stimulus_169,"The activated emotions are: amusement, awe, awkwardness, empathic_pain, joy, sympathy."
sub-01::stimulus_170,"The activated emotions are: fear, guilt, interest, joy, romance, sexual_desire, sympathy."
sub-01::stimulus_171,"The activated emotions are: aesthetic_appreciation, awe, calmness, joy."
sub-01::stimulus_172,"The activated emotions are: adoration, amusement, awe, joy, nostalgia."
sub-01::stimulus_173,"The activated emotions are: amusement, confusion, fear, nostalgia, sexual_desire, sympathy, shame."
sub-01::stimulus_174,"The activated emotions are: amusement, awe, nostalgia, sexual_desire, sympathy."
sub-01::stimulus_175,"The activated emotions are: aesthetic_appreciation, awe, envy, joy."
sub-01::stimulus_176,"The activated emotions are: amusement, joy, pride."
sub-01::stimulus_177,"The activated emotions are: amusement, nostalgia, sympathy, triumph."
sub-01::stimulus_178,"The activated emotions are: amusement, boredom, pride."
sub-01::stimulus_179,"The activated emotions are: amusement, empathic_pain, nostalgia, sympathy."
sub-01::stimulus_180,"The activated emotions are: aesthetic_appreciation, awe, calmness, envy, joy, sexual_desire."
sub-01::stimulus_181,"The activated emotions are: anxiety, empathic_pain, guilt, interest, satisfaction, sympathy."
sub-01::stimulus_182,"The activated emotions are: admiration, amusement, awe, joy, sexual_desire, sympathy."
sub-01::stimulus_183,"The activated emotions are: admiration, amusement, nostalgia, sympathy."
sub-01::stimulus_184,"The activated emotions are: adoration, amusement, awe, calmness, nostalgia."
sub-01::stimulus_185,"The activated emotions are: admiration, amusement, anxiety, awe, fear, joy, sexual_desire, sympathy."
sub-01::stimulus_186,"The activated emotions are: anxiety, confusion, empathic_pain, entrancement, guilt, interest, satisfaction."
